country,year,coffee_kg_per_capita,gdp_per_capita_usd,happiness_score
Austria,2010,6.39,53487,7.23
Austria,2011,5.82,53648,7.1
Austria,2012,6.07,54523,7.07
Austria,2013,6.5,55687,7.17
Austria,2014,6.64,56858,6.91
Austria,2015,6.12,57695,7.07
Austria,2016,6.03,57860,6.92
Austria,2017,5.99,58363,7.41
Austria,2018,6.51,60207,7.04
Austria,2019,5.96,61332,7.18
Austria,2020,6.58,62264,7.09
Austria,2021,6.58,64748,7.34
Austria,2022,6.48,63347,7.06
Austria,2023,6.36,63818,7.31
Austria,2024,6.76,65779,7.0
Brazil,2010,6.22,8947,6.4
Brazil,2011,6.28,9036,6.48
Brazil,2012,6.21,9358,6.06
Brazil,2013,5.93,9495,6.39
Brazil,2014,6.29,9586,6.34
Brazil,2015,5.93,9866,6.2
Brazil,2016,6.32,9889,6.21
Brazil,2017,6.6,9770,6.29
Brazil,2018,6.17,10495,6.26
Brazil,2019,6.8,10580,6.23
Brazil,2020,6.46,10701,6.27
Brazil,2021,6.81,10256,6.17
Brazil,2022,6.84,10981,6.3
Brazil,2023,6.59,10910,6.39
Brazil,2024,6.41,11217,6.27
Canada,2010,6.33,51489,6.99
Canada,2011,6.66,51433,6.85
Canada,2012,7.02,52310,7.05
Canada,2013,6.86,53223,6.95
Canada,2014,6.54,54289,7.13
Canada,2015,6.91,55666,6.95
Canada,2016,6.71,55279,6.84
Canada,2017,6.6,57009,6.88
Canada,2018,6.89,57267,6.85
Canada,2019,6.78,57929,6.93
Canada,2020,6.65,58676,7.12
Canada,2021,6.6,59333,7.41
Canada,2022,6.47,58139,6.9
Canada,2023,7.12,59818,7.1
Canada,2024,6.53,62537,6.83
Colombia,2010,1.97,6644,5.88
Colombia,2011,2.08,6583,5.76
Colombia,2012,2.18,6654,6.05
Colombia,2013,2.05,6776,6.29
Colombia,2014,2.55,7028,6.01
Colombia,2015,2.39,6919,5.93
Colombia,2016,2.63,7024,5.85
Colombia,2017,2.72,7257,5.91
Colombia,2018,2.34,7431,5.81
Colombia,2019,2.38,7412,6.06
Colombia,2020,2.63,7368,6.1
Colombia,2021,2.63,7680,5.82
Colombia,2022,2.29,7542,6.11
Colombia,2023,2.84,7652,6.13
Colombia,2024,2.45,8013,5.91
Denmark,2010,8.35,67410,7.53
Denmark,2011,8.87,68072,7.61
Denmark,2012,8.85,69346,7.72
Denmark,2013,8.94,71046,7.57
Denmark,2014,8.82,73414,7.5
Denmark,2015,8.95,71683,7.65
Denmark,2016,9.05,75305,7.64
Denmark,2017,9.54,77529,7.79
Denmark,2018,9.09,78006,7.31
Denmark,2019,9.03,78626,7.43
Denmark,2020,9.22,80145,7.53
Denmark,2021,9.41,81373,7.64
Denmark,2022,9.54,85115,7.6
Denmark,2023,9.74,85236,7.53
Denmark,2024,9.3,85331,7.75
Finland,2010,11.94,52757,7.97
Finland,2011,12.26,54554,7.81
Finland,2012,11.7,54814,7.78
Finland,2013,11.89,57267,7.69
Finland,2014,11.99,56830,8.03
Finland,2015,12.4,59164,7.67
Finland,2016,12.25,60285,7.85
Finland,2017,11.99,61044,7.87
Finland,2018,12.45,62522,7.81
Finland,2019,12.24,65582,7.76
Finland,2020,12.21,66217,7.61
Finland,2021,12.49,68688,7.97
Finland,2022,11.93,70488,7.75
Finland,2023,12.33,70471,7.82
Finland,2024,12.73,73144,7.76
France,2010,5.26,39373,6.61
France,2011,5.47,39995,6.72
France,2012,5.55,41934,6.63
France,2013,5.24,42008,6.71
France,2014,5.67,42144,6.75
France,2015,5.66,43738,6.63
France,2016,5.75,44019,6.57
France,2017,5.67,44882,6.89
France,2018,6.02,44779,6.5
France,2019,5.8,46588,6.48
France,2020,5.77,47490,6.78
France,2021,5.72,47717,6.6
France,2022,5.78,49156,6.51
France,2023,6.06,50256,6.72
France,2024,6.39,49769,6.66
Germany,2010,6.31,48649,6.87
Germany,2011,6.62,49076,6.94
Germany,2012,6.42,50996,6.83
Germany,2013,6.74,51463,6.88
Germany,2014,6.93,52380,6.96
Germany,2015,7.02,54590,6.79
Germany,2016,6.68,54807,6.8
Germany,2017,7.55,56443,6.86
Germany,2018,6.99,56327,6.93
Germany,2019,6.7,57815,6.8
Germany,2020,6.9,59877,6.72
Germany,2021,7.17,61156,7.23
Germany,2022,6.77,63806,6.69
Germany,2023,7.12,65088,6.61
Germany,2024,7.15,67411,7.06
Italy,2010,6.33,34632,6.29
Italy,2011,6.23,35477,6.49
Italy,2012,6.11,35336,6.2
Italy,2013,6.28,37405,6.32
Italy,2014,6.12,37150,6.42
Italy,2015,5.91,39179,6.14
Italy,2016,5.52,37874,6.3
Italy,2017,5.75,38480,6.23
Italy,2018,6.73,39876,6.37
Italy,2019,6.51,39603,6.1
Italy,2020,6.13,40073,6.32
Italy,2021,6.24,41532,6.11
Italy,2022,6.27,40527,6.37
Italy,2023,6.66,41133,6.16
Italy,2024,6.5,43043,6.36
Japan,2010,4.07,33644,6.08
Japan,2011,3.32,34096,6.07
Japan,2012,3.44,34663,6.04
Japan,2013,3.79,35511,5.8
Japan,2014,4.07,36522,6.16
Japan,2015,4.26,35396,5.99
Japan,2016,3.71,37593,5.9
Japan,2017,3.77,37846,5.92
Japan,2018,3.77,39505,5.85
Japan,2019,4.28,39154,5.86
Japan,2020,3.88,41104,5.98
Japan,2021,4.02,41518,6.23
Japan,2022,3.49,42057,6.01
Japan,2023,3.78,41432,5.79
Japan,2024,4.31,42827,5.88
Mexico,2010,1.7,10047,6.62
Mexico,2011,1.53,10241,6.65
Mexico,2012,1.64,10212,6.6
Mexico,2013,1.9,10541,6.51
Mexico,2014,1.78,10683,6.79
Mexico,2015,2.18,11002,6.59
Mexico,2016,1.78,11190,6.84
Mexico,2017,1.84,11198,6.64
Mexico,2018,1.97,11526,6.65
Mexico,2019,2.23,11503,6.57
Mexico,2020,1.92,12090,6.49
Mexico,2021,1.87,12133,6.81
Mexico,2022,2.3,12451,6.83
Mexico,2023,2.22,12911,6.59
Mexico,2024,1.79,12915,6.39
Netherlands,2010,8.25,57427,7.43
Netherlands,2011,8.72,57172,7.61
Netherlands,2012,8.81,60834,7.18
Netherlands,2013,8.69,60352,7.39
Netherlands,2014,8.6,64161,7.39
Netherlands,2015,8.69,65408,7.31
Netherlands,2016,8.41,67225,7.52
Netherlands,2017,9.09,67634,7.36
Netherlands,2018,8.78,69592,7.46
Netherlands,2019,8.77,70240,7.37
Netherlands,2020,8.57,72583,7.45
Netherlands,2021,8.99,73981,7.24
Netherlands,2022,8.78,74267,7.35
Netherlands,2023,8.9,76739,7.53
Netherlands,2024,8.37,79628,7.52
Norway,2010,9.89,87874,7.32
Norway,2011,9.94,86723,7.36
Norway,2012,10.22,90627,7.4
Norway,2013,10.14,88226,7.38
Norway,2014,9.99,90675,7.13
Norway,2015,10.51,93807,7.22
Norway,2016,10.47,93579,7.27
Norway,2017,10.37,94542,7.22
Norway,2018,10.01,97120,7.51
Norway,2019,10.31,98028,7.45
Norway,2020,9.87,96583,7.32
Norway,2021,9.75,99244,7.28
Norway,2022,10.66,100580,7.29
Norway,2023,10.47,102459,7.19
Norway,2024,10.11,106968,7.39
Portugal,2010,4.55,24720,5.94
Portugal,2011,4.39,23844,5.93
Portugal,2012,4.1,24320,5.86
Portugal,2013,4.2,25429,5.77
Portugal,2014,4.45,25569,6.02
Portugal,2015,4.02,26194,6.02
Portugal,2016,4.72,25868,6.12
Portugal,2017,4.55,26845,5.92
Portugal,2018,4.47,27262,5.99
Portugal,2019,5.15,27069,5.83
Portugal,2020,4.65,27641,5.81
Portugal,2021,4.78,28293,6.15
Portugal,2022,4.72,27973,6.22
Portugal,2023,4.82,28842,6.04
Portugal,2024,4.85,29027,5.87
South Korea,2010,2.62,32187,5.94
South Korea,2011,2.49,33978,5.9
South Korea,2012,2.76,34086,5.91
South Korea,2013,2.68,36422,5.95
South Korea,2014,2.59,36058,6.09
South Korea,2015,3.19,37074,5.86
South Korea,2016,2.72,37603,5.95
South Korea,2017,3.16,38660,5.68
South Korea,2018,3.5,38857,5.83
South Korea,2019,3.01,40649,5.79
South Korea,2020,3.36,41217,5.92
South Korea,2021,3.04,41981,5.9
South Korea,2022,3.17,42596,5.99
South Korea,2023,3.1,44054,5.83
South Korea,2024,2.93,45649,5.7
Spain,2010,4.28,29773,6.53
Spain,2011,4.36,31051,6.41
Spain,2012,4.29,32353,6.78
Spain,2013,4.61,31442,6.59
Spain,2014,4.41,31502,6.69
Spain,2015,4.65,32038,6.37
Spain,2016,4.59,32579,6.7
Spain,2017,4.72,34161,6.62
Spain,2018,4.36,34526,6.28
Spain,2019,4.83,35565,6.32
Spain,2020,4.57,36638,6.53
Spain,2021,4.4,36395,6.46
Spain,2022,4.62,36278,6.52
Spain,2023,4.76,37229,6.32
Spain,2024,4.39,38017,6.33
Sweden,2010,8.01,56368,7.58
Sweden,2011,8.47,59077,7.5
Sweden,2012,8.35,58207,7.5
Sweden,2013,8.34,60810,7.4
Sweden,2014,8.37,60081,7.29
Sweden,2015,8.22,62226,7.25
Sweden,2016,8.62,63446,7.37
Sweden,2017,8.53,66006,7.21
Sweden,2018,8.74,66696,7.32
Sweden,2019,8.48,66817,7.35
Sweden,2020,8.67,69820,7.36
Sweden,2021,9.05,70165,7.57
Sweden,2022,8.87,71631,7.27
