country,iso3,year,gdp_per_capita,life_expectancy,population
Brazil,BRA,2000,3766.5,69.58,174018282
Brazil,BRA,2001,3176.3,69.98,176301203
Brazil,BRA,2002,2855.9,70.4,178503484
Brazil,BRA,2003,3090.6,70.88,180622688
Brazil,BRA,2004,3663.8,71.36,182675143
Brazil,BRA,2005,4827.8,71.83,184688101
Brazil,BRA,2006,5934.1,72.3,186653106
Brazil,BRA,2007,7409.7,72.73,188552320
Brazil,BRA,2008,8908.3,73.11,190367302
Brazil,BRA,2009,8678.7,73.46,192079951
Brazil,BRA,2010,11403.3,73.78,193701929
Brazil,BRA,2011,13396.6,74.05,195284734
Brazil,BRA,2012,12521.7,74.33,196876111
Brazil,BRA,2013,12458.9,74.61,198478299
Brazil,BRA,2014,12275.0,74.82,200085127
Brazil,BRA,2015,8936.2,75.11,201675532
Brazil,BRA,2016,8836.3,75.08,203218114
Brazil,BRA,2017,10080.5,75.38,204703445
Brazil,BRA,2018,9300.7,75.63,206107261
Brazil,BRA,2019,9029.8,75.81,207455459
Brazil,BRA,2020,7074.2,74.51,208660842
Brazil,BRA,2021,7972.5,73.04,209550294
Brazil,BRA,2022,9281.3,74.87,210306415
Brazil,BRA,2023,10377.6,75.85,211140729
China,CHN,2000,969.2,72.29,1262645000
China,CHN,2001,1065.4,72.67,1271850000
China,CHN,2002,1163.6,73.03,1280400000
China,CHN,2003,1307.0,73.39,1288400000
China,CHN,2004,1530.9,73.73,1296075000
China,CHN,2005,1777.6,74.08,1303720000
China,CHN,2006,2129.3,74.4,1311020000
China,CHN,2007,2734.7,74.79,1317885000
China,CHN,2008,3523.4,74.83,1324655000
China,CHN,2009,3898.2,75.32,1331260000
China,CHN,2010,4629.2,75.67,1337705000
China,CHN,2011,5703.8,75.89,1345035000
China,CHN,2012,6405.1,76.2,1354190000
China,CHN,2013,7147.0,76.45,1363240000
China,CHN,2014,7781.1,76.71,1371860000
China,CHN,2015,8175.3,76.97,1379860000
China,CHN,2016,8254.9,77.21,1387790000
China,CHN,2017,8979.7,77.23,1396215000
China,CHN,2018,10085.7,77.71,1402760000
China,CHN,2019,10342.9,77.94,1407745000
China,CHN,2020,10627.5,78.02,1411100000
China,CHN,2021,12887.4,78.12,1412360000
China,CHN,2022,12970.6,78.2,1412175000
China,CHN,2023,12951.2,77.95,1410710000
Germany,DEU,2000,23925.9,77.93,82211508
Germany,DEU,2001,23878.4,78.33,82349925
Germany,DEU,2002,25486.6,78.23,82488495
Germany,DEU,2003,30711.1,78.38,82534176
Germany,DEU,2004,34566.7,78.68,82516260
Germany,DEU,2005,35084.4,78.93,82469422
Germany,DEU,2006,36980.3,79.13,82376451
Germany,DEU,2007,42350.9,79.53,82266372
Germany,DEU,2008,46379.2,79.74,82110097
Germany,DEU,2009,42471.9,79.84,81902307
Germany,DEU,2010,42397.0,79.99,81776930
Germany,DEU,2011,47631.0,80.44,80274983
Germany,DEU,2012,44718.0,80.54,80425823
Germany,DEU,2013,47206.8,80.49,80645605
Germany,DEU,2014,48959.6,81.09,80982500
Germany,DEU,2015,41929.8,80.64,81686611
